statement,label
Hon Hai Precision doesn't operate in the industry of technology hardware & equipment.,0
"Morgan Stanley is a holding company, which doesn't engage in the provision of a portfolio of transportation, e-commerce, and business services.",1
Bank of China doesn't engage in the provision of banking and financial services.,0
America Movil doesn't engage in the provision of telecommunications services.,0
Alibaba Group doesn't operate in the industry of retailing.,0
Bank of Communications doesn't engage in the provision of banking and financial services.,0
Mitsubishi doesn't operate in the industry of Banking.,1
China Life Insurance doesn't have headquarters in China.,0
Sberbank doesn't have headquarters in France.,1
Walmart doesn't have headquarters in Taiwan.,1
Walgreens doesn't have headquarters in China.,1
"PepsiCo doesn't operate in the industry of food, drink & tobacco.",0
"Agricultural Bank of China doesn't operate in the industry of Food, Drink & Tobacco.",1
Walmart doesn't operate in the industry of retailing.,0
HDFC Bank doesn't operate in the industry of Banking.,1
Johnson & Johnson doesn't have headquarters in Hong Kong.,1
State Bank of India doesn't engage in the provision of commercial banking services.,0
"Novartis is a holding company, which doesn't engage in the development, manufacture, and marketing of healthcare products.",0
Lowe's doesn't have headquarters in United States.,0
UnitedHealth Group doesn't have headquarters in United States.,0
British American Tobacco doesn't have headquarters in United States.,0
Nestle doesn't operate in the industry of Banking.,1
Shell doesn't operate in the industry of oil & gas operations.,0
China Vanke doesn't engage in the development and sale of properties.,0
Sberbank doesn't operate in the industry of banking.,0
"Sumitomo Mitsui Financial doesn't engage in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",1
Deutsche Post doesn't operate in the industry of transportation.,0
PetroChina doesn't engage in the provision of innovative memory and storage solutions.,1
Costco Wholesale doesn't have headquarters in Russia.,1
Apple doesn't have headquarters in United States.,0
BNP Paribas doesn't have headquarters in China.,1
"Accenture doesn't engage in the provision of management consulting, technology, and outsourcing services.",0
Raytheon Technologies doesn't have headquarters in China.,1
Goldman Sachs Group is a holding company that doesn't engage in the provision of telecommunications media and technology service.,1
Volkswagen Group doesn't engage in the production and sale of passenger cars and light commercial vehicles.,0
HCA Healthcare doesn't have headquarters in United Kingdom.,1
Intesa Sanpaolo doesn't have headquarters in Italy.,0
Tokio Marine Holdings doesn't operate in the industry of Retailing.,1
Bank of Nova Scotia doesn't have headquarters in Canada.,0
"Santander is a banking services company, which doesn't engage in the provision of banking services to individuals, companies, and institutions.",0
"Deutsche Post doesn't engage in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",1
General Motors doesn't operate in the industry of consumer durables.,0
Amazon.com doesn't operate in the industry of retailing.,0
GlaxoSmithKline is a holding company that doesn't engage in the provision of financial management solutions.,1
Costco Wholesale doesn't operate in the industry of retailing.,0
"Deere & Company doesn't engage in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.",0
Mitsubishi doesn't engage in the provision of services utilizing the function of general trading.,0
"Westpac Banking is an investment holding company, which doesn't engage in the provision of life insurance.",1
Alibaba Group doesn't engage in providing online and mobile marketplaces in retail and wholesale trade.,0
Eni doesn't have headquarters in Italy.,0
Dow doesn't have headquarters in United States.,0
Mitsubishi UFJ Financial Group doesn't operate in the industry of Banking.,1
Cathay Financial doesn't have headquarters in Taiwan.,0
China Construction Bank doesn't operate in the industry of Telecommunications Services.,1
Prudential Financial doesn't operate in the industry of diversified financials.,0
Linde doesn't engage in the production and distribution of industrial gases.,0
United Parcel Service doesn't engage in the provision of telecommunication services.,1
"Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",0
American Express doesn't operate in the industry of Consumer Durables.,1
Postal Savings Bank of China doesn't operate in the industry of Consumer Durables.,1
"Sberbank doesn't engage in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.",1
Mitsubishi doesn't have headquarters in Japan.,0
Canadian Imperial Bank of Commerce doesn't operate in the industry of Materials.,1
Bank of Nova Scotia doesn't have headquarters in Taiwan.,1
Mercedes-Benz Group doesn't have headquarters in Germany.,0
U.S. Bancorp doesn't have headquarters in South Korea.,1
Roche Holding doesn't operate in the industry of drugs & biotechnology.,0
Rio Tinto doesn't operate in the industry of materials.,0
"Taiwan Semiconductor Manufacturing Company doesn't engage in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems.",1
Tencent Holdings doesn't have headquarters in China.,0
Capital One doesn't operate in the industry of banking.,0
MetLife doesn't engage in owning and operating of general merchandise stores.,1
Siemens doesn't operate in the industry of Oil & Gas Operations.,1
Hon Hai Precision doesn't have headquarters in Taiwan.,0
Mitsubishi doesn't operate in the industry of trading companies.,0
"China Shenhua Energy doesn't engage in the production and marketing of metal, mineral, and energy and agricultural commodities.",1
Procter & Gamble doesn't engage in the provision of branded consumer packaged goods.,0
SoftBank doesn't operate in the industry of telecommunications services.,0
Postal Savings Bank of China doesn't operate in the industry of banking.,0
"Moller - Maersk doesn't engage in shipping, energy, transportation, offshore drilling, and retail activities.",0
Wells Fargo doesn't have headquarters in Saudi Arabia.,1
"Charter Communications doesn't engage in the provision of financial products and services, including personal, commercial, corporate, and investment banking.",1
UBS Group is a holding company that doesn't engage in the provision of financial management solutions.,0
"Exxon Mobil doesn't engage in the exploration, development, and distribution of oil, gas, and petroleum products.",0
China Shenhua Energy doesn't operate in the industry of Transportation.,1
"Apple doesn't engage in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",0
"Anheuser-Busch InBev doesn't operate in the industry of food, drink & tobacco.",0
The Home Depot is the world's largest home improvement specialty retailer.,0
"Alibaba Group doesn't engage in the manufacture and sale of automobiles, motorcycles and power products.",1
Chevron doesn't have headquarters in Germany.,1
Banco Bradesco doesn't operate in the industry of banking.,0
UnitedHealth Group doesn't operate in the industry of Diversified Financials.,1
"Caterpillar doesn't engage in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.",0
Agricultural Bank of China doesn't operate in the industry of banking.,0
CVS Health doesn't operate in the industry of retailing.,0
UnitedHealth Group doesn't have headquarters in Hong Kong.,1
Ping An Insurance (Group) Company of China doesn't have headquarters in France.,1
"Ford Motor doesn't engage in the manufacture, distribution and sale of automobiles.",0
PNC Financial Services doesn't operate in the industry of Aerospace & Defense.,1
BNP Paribas doesn't engage in the provision of banking and financial services.,0
"Volkswagen Group doesn't operate as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.",1
AbbVie (ABBV) doesn't have headquarters in United States.,0
Generali Group doesn't engage in the provision of insurance and financial products.,0
Taiwan Semiconductor Manufacturing Company doesn't operate in the industry of Chemicals.,1
Sony doesn't operate in the industry of Banking.,1
Abbott Laboratories doesn't have headquarters in United States.,0
Wells Fargo doesn't have headquarters in United States.,0
Stellantis doesn't have headquarters in United States.,1
Oracle doesn't operate in the industry of Consumer Durables.,1
Industrial Bank doesn't have headquarters in China.,0
CVS Health doesn't have headquarters in Canada.,1
Exxon Mobil doesn't operate in the industry of Household & Personal Products.,1
Enbridge doesn't operate in the industry of Insurance.,1
"Pfizer doesn't engage in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide.",0
Thermo Fisher Scientific doesn't have headquarters in South Korea.,1
AT&T doesn't engage in business of product trading and business investment activities.,1
Mitsubishi UFJ Financial Group doesn't have headquarters in Canada.,1
Volkswagen Group doesn't operate in the industry of consumer durables.,0
Reliance Industries doesn't operate in the industry of Semiconductors.,1
JPMorgan Chase doesn't operate as a holding company that doesn't engage in the management of its group companies.,1
Fubon Financial doesn't engage in the provision of financial services.,0
Generali Group doesn't have headquarters in Italy.,0
ArcelorMittal doesn't have headquarters in Canada.,1
"Barclays doesn't operate as a bank holding company that doesn't engage in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services.",0
Postal Savings Bank of China doesn't have headquarters in United States.,1
MetLife doesn't have headquarters in United States.,0
Capital One doesn't operate as a financial holding company that doesn't engage in the provision of financial products and services.,0
Itochu doesn't engage in business of product trading and business investment activities.,0
Deere & Company doesn't have headquarters in United States.,0
"Goldman Sachs Group doesn't engage in global investment banking, securities and investment management, which provides financial services.",0
Toyota Motor doesn't operate in the industry of Banking.,1
Anthem doesn't engage in the provision of products and services that address all aspects of corporate information technology environments.,1
Sumitomo Mitsui Financial doesn't operate in the industry of banking.,0
LVMH Moet Hennessy Louis Vuitton doesn't operate in the industry of household & personal products.,0
"Munich Reinsurance doesn't engage in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",1
"Broadcom doesn't engage in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",1
Public Joint Stock Company Gazprom doesn't operate in the industry of oil & gas operations.,0
Nestle doesn't have headquarters in Switzerland.,0
"IBM is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes.",0
MetLife doesn't have headquarters in Australia.,1
Target doesn't have headquarters in United States.,0
Iberdrola doesn't operate in the industry of Banking.,1
"KDDI doesn't engage in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",1
SAP doesn't have headquarters in Germany.,0
Postal Savings Bank of China doesn't have headquarters in China.,0
China State Construction Engineering doesn't have headquarters in China.,0
"Univlever doesn't engage in the production and marketing of consumer goods in the nutrition, hygiene, and personal care categories.",0
Lloyds Banking Group doesn't operate in the industry of Consumer Durables.,1
"Shell doesn't engage in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",1
Prudential Financial doesn't have headquarters in United States.,0
"General Motors doesn't engage in the designing, manufacturing, and selling of cars, trucks and automobile parts.",0
Pfizer doesn't have headquarters in United States.,0
Nippon Telegraph & Telephone is a holding company that doesn't engage in the provision of telecommunication services.,0
"Meta Platforms doesn't operate in the industry of Food, Drink & Tobacco.",1
China Telecom doesn't engage in the provision of telecommunication services.,0
Walt Disney is a diversified international family entertainment and media enterprise.,0
BHP Group doesn't have headquarters in Australia.,0
Nestle doesn't have headquarters in Mexico.,1
Intel doesn't have headquarters in Russia.,1
Nippon Telegraph & Telephone doesn't engage in the provision of banking and financial services.,1
Goldman Sachs Group doesn't operate in the industry of diversified financials.,0
ENGIE doesn't operate in the industry of Drugs & Biotechnology.,1
ConocoPhillips doesn't operate in the industry of Semiconductors.,1
Barclays doesn't operate in the industry of Retailing.,1
"Bristol Myers Squibb doesn't engage in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products.",0
Amazon.com doesn't engage in the manufacture of luxury goods.,1
"Target is a holding company, which doesn't engage in the provision of financial services.",1
"Nestle doesn't engage in the production and distribution of cars, trucks and vans.",1
"Ford Motor doesn't engage in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products.",1
Bank of China doesn't have headquarters in China.,0
Stellantis doesn't have headquarters in Netherlands.,0
"Sony doesn't engage in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets.",0
Anthem doesn't have headquarters in United States.,0
IBM doesn't have headquarters in United States.,0
Eni doesn't have headquarters in Switzerland.,1
Japan Post Holdings doesn't have headquarters in United States.,1
"HCA Healthcare is a health care services company, which doesn't engage in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",0
Citigroup is a holding company that doesn't engage in the provision of financial products and services.,0
"Mitsui doesn't engage in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1
GlaxoSmithKline doesn't have headquarters in Germany.,1
VINCI doesn't operate in the industry of Insurance.,1
"UnitedHealth Group doesn't engage in the provision of healthcare coverage, software and data consultancy services.",0
"Airbus Group doesn't engage in the design, manufacture, delivery and provision of aerospace products, space and related services.",0
Walt Disney doesn't have headquarters in United States.,0
Verizon Communications doesn't have headquarters in United States.,0
Dow doesn't have headquarters in Italy.,1
"Alphabet is a holding company, which doesn't engage in the business of acquisition and operation of different companies.",0
Verizon Communications doesn't have headquarters in Japan.,1
Sberbank doesn't operate in the industry of Consumer Durables.,1
Dell Technologies doesn't have headquarters in France.,1
Pfizer doesn't engage in the provision of insurance and financial products.,1
Lockheed Martin doesn't have headquarters in United States.,0
Medtronic doesn't have headquarters in Ireland.,0
"Bank of China doesn't engage in the exploration, development, production and sale of crude oil & gas. It also involves in refining, transportation, and sale of petroleum products.",1
"Verizon Communications doesn't engage in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",1
Visa doesn't operate in the industry of United States.,1
The Home Depot doesn't operate in the industry of retailing.,0
Oracle doesn't operate in the industry of it software & services.,0
Itau Unibanco Holding doesn't have headquarters in China.,1
"Lloyds Banking Group is a financial services company, which doesn't engage in the provision of a wide range of banking and financial services.",0
Rio Tinto doesn't have headquarters in France.,1
AT&T doesn't operate in the industry of telecommunications services.,0
CITIC doesn't operate in the industry of Banking.,1
"Electricite de France doesn't engage in power generation, transmission, distribution, supply and trading activities.",0
Brookfield Asset Management doesn't operate in the industry of Consumer Durables.,1
Merck & Co. doesn't have headquarters in Drugs & Biotechnology.,0
Credit Agricole doesn't have headquarters in France.,0
Cathay Financial doesn't operate in the industry of insurance.,0
Hitachi doesn't have headquarters in Japan.,1
PNC Financial Services doesn't engage in the operation of membership warehouses.,1
Samsung Group doesn't have headquarters in South Korea.,0
Bayerische Motoren Werke (BMW) doesn't have headquarters in Germany.,0
BHP Group provides insurance and financial services to individual and institutional customers.,1
BBVA doesn't operate in the industry of banking.,0
The Home Depot doesn't engage in the provision of telecommunication and information technology services.,1
Toyota Motor doesn't have headquarters in United States.,1
"Iberdrola is a holding company that doesn't engage in the generation, distribution, trading and marketing of electricity.",0
American Express doesn't operate in the industry of diversified financials.,0
Moller - Maersk doesn't have headquarters in Australia.,1
Fubon Financial doesn't operate in the industry of insurance.,0
AXA doesn't operate in the industry of insurance.,0
Alphabet doesn't operate in the industry of Oil & Gas Operations.,1
LVMH Moet Hennessy Louis Vuitton doesn't engage in the manufacture of luxury goods.,0
"Intel doesn't engage in the design, manufacture and sale of computer products and technologies.",0
JPMorgan Chase is a financial holding company. It provides financial and investment banking services.,0
China Merchants Bank doesn't have headquarters in United States.,1
Public Joint Stock Company Gazprom doesn't have headquarters in Russia.,0
Univlever doesn't engage in the provision of banking and financial solutions.,1
Honeywell doesn't operate in the industry of conglomerates.,0
Visa doesn't have headquarters in United States.,0
ENGIE doesn't have headquarters in France.,0
Industrial Bank doesn't operate in the industry of banking.,0
Broadcom doesn't operate in the industry of semiconductors.,0
Hyundai Motor doesn't have headquarters in South Korea.,0
Rosneft doesn't operate in the industry of Gas & Oil Operations.,1
BP doesn't operate as an integrated oil and gas company.,0
Shell doesn't have headquarters in Canada.,1
Raytheon Technologies doesn't have headquarters in United States.,0
Walgreens doesn't have headquarters in United States.,0
Roche Holding doesn't have headquarters in Switzerland.,0
Ford Motor doesn't have headquarters in Japan.,1
GlaxoSmithKline doesn't have headquarters in United Kingdom.,0
Vale doesn't operate in the industry of Banking.,1
Iberdrola doesn't have headquarters in Canada.,1
Novartis doesn't have headquarters in Japan.,1
Saudi Arabian Oil Company (Saudi Aramco) doesn't operate in the industry of oil & gas operations.,0
CNOOC doesn't operate in the industry of oil & gas operations.,0
BHP Group doesn't operate in the industry of Insurance.,1
Ping An Insurance (Group) Company of China doesn't operate in the industry of Banking.,1
Banco Bradesco doesn't engage in the provision of financial and insurance services.,0
"Chevron doesn't engage in the provision of administrative, financial management and technology support for energy and chemical operations.",0
Raytheon Technologies doesn't operate in the industry of Banking.,1
America Movil doesn't have headquarters in Switzerland.,1
China Mobile doesn't have headquarters in Russia.,1
Anglo American doesn't operate in the industry of materials.,0
U.S. Bancorp doesn't operate in the industry of banking.,0
Accenture doesn't operate in the industry of it software & services.,0
UBS Group doesn't operate in the industry of Aerospace & Defense.,1
Chubb doesn't have headquarters in China.,1
Brookfield Asset Management doesn't operate in the industry of diversified financials.,0
Apple doesn't engage in the provision of banking and related financial services.,1
Procter & Gamble is the world's largest home improvement specialty retailer.,1
"Wells Fargo is a diversified, community-based financial services company.",0
Charter Communications doesn't operate in the industry of media.,0
Hon Hai Precision doesn't have headquarters in United States.,1
SK Hynix doesn't operate in the industry of semiconductors.,0
"Prudential Financial doesn't engage in the provision of financial products and services including life insurance, annuities, mutual funds, and investment management to both individual and institutional customers.",0
Honeywell doesn't operate in the industry of IT Software & Services.,1
China Construction Bank doesn't have headquarters in United States.,1
Lockheed Martin doesn't have headquarters in Ireland.,1
Saudi Arabian Oil Company (Saudi Aramco) doesn't have headquarters in Saudi Arabia.,0
Anthem doesn't have headquarters in Spain.,1
Visa doesn't engage in the provision of insurance and investment advisory services.,1
China Telecom doesn't have headquarters in Germany.,1
Moller - Maersk doesn't operate in the industry of transportation.,0
Rosneft doesn't have headquarters in United States.,1
General Motors doesn't have headquarters in Drugs & Biotechnology.,1
ANZ doesn't have headquarters in Australia.,0
Shanghai Pudong Development Bank provides banking and financial services.,0
Caterpillar doesn't have headquarters in Rome.,1
"Cisco Systems doesn't engage in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",1
"Total produces and markets fuels, natural gas and low-carbon electricity.",0
PNC Financial Services doesn't have headquarters in United States.,0
Alibaba Group doesn't operate in the industry of Construction.,1
Siemens doesn't operate in the industry of conglomerates.,0
"Eni is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",1
Chevron doesn't operate in the industry of Banking.,1
Micron Technology doesn't have headquarters in United States.,0
ENGIE doesn't have headquarters in United States.,1
Equinor doesn't operate in the industry of oil & gas operations.,0
CNOOC doesn't have headquarters in Japan.,1
"Truist Financial doesn't operate as a financial holding company, which doesn't engage in the provision of banking services to individuals, businesses and municipalities.",0
Microsoft doesn't operate in the industry of Transportation.,1
AIA Group doesn't have headquarters in United States.,1
Costco Wholesale doesn't operate in the industry of Materials.,1
BASF is a financial holding company. It provides financial and investment banking services.,1
"Siemens doesn't engage in property development, commodity residential building distribution, and property management.",1
Santander doesn't have headquarters in Spain.,0
Deutsche Telekom doesn't operate as a financial holding company that doesn't engage in the provision of financial products and services.,1
Visa doesn't operate in the industry of business services & supplies.,0
America Movil doesn't operate in the industry of telecommunications services.,0
Apple doesn't operate in the industry of Construction.,1
PNC Financial Services doesn't operate in the industry of banking.,0
BlackRock doesn't have headquarters in United States.,0
Cathay Financial doesn't engage in the provision of financial services.,0
CNOOC doesn't have headquarters in Hong Kong.,0
Exxon Mobil doesn't have headquarters in United States.,0
"China Citic Bank produces and markets fuels, natural gas and low-carbon electricity.",1
Costco Wholesale doesn't engage in the operation of membership warehouses.,0
British American Tobacco doesn't operate as a global financial services company.,1
Deutsche Telekom doesn't engage in the provision of telecommunication and information technology services.,0
Bank of America doesn't operate in the industry of Aerospace & Defense.,1
Saudi Arabian Oil Company (Saudi Aramco) doesn't operate in the industry of Trading Companies.,1
"BNP Paribas is a financial services company, which doesn't engage in the provision of a wide range of banking and financial services.",1
"Sony doesn't engage in the provision of digital payment services. It also facilitates global commerce through the transfer of value and information among global network of consumers, merchants, financial institutions, businesses, strategic partners, and government entities.",1
IBM doesn't operate in the industry of Insurance.,1
Cathay Financial doesn't have headquarters in Russia.,1
"Abbott Laboratories is a holding company that doesn't engage in the research and development, manufacture and sale of products in the healthcare field.",1
"HSBC Holdings is a health care services company, which doesn't engage in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",1
Cisco Systems doesn't have headquarters in Japan.,1
China Vanke doesn't have headquarters in Australia.,1
Microsoft doesn't have headquarters in United States.,0
MetLife doesn't operate in the industry of insurance.,0
Coca-Cola doesn't have headquarters in United States.,0
Oracle doesn't engage in the provision of products and services that address all aspects of corporate information technology environments.,0
FedEx doesn't have headquarters in United States.,0
China Construction Bank doesn't operate in the industry of banking.,0
LukOil doesn't have headquarters in China.,1
PepsiCo doesn't have headquarters in Australia.,1
Deutsche Post doesn't have headquarters in Germany.,0
AXA doesn't engage in providing online and mobile marketplaces in retail and wholesale trade.,1
Linde doesn't operate in the industry of Construction.,1
Tesla doesn't have headquarters in Canada.,1
Westpac Banking doesn't operate in the industry of Consumer Durables.,1
SK Hynix doesn't operate in the industry of Conglomerates.,1
"BlackRock doesn't engage in providing investment management, risk management, and advisory services for institutional and retail clients worldwide.",0
Thermo Fisher Scientific doesn't operate in the industry of healthcare equipment & services.,0
ENGIE doesn't operate in the industry of oil & gas operations.,0
Electricite de France doesn't have headquarters in France.,0
American International Group doesn't operate in the industry of insurance.,0
"Vale doesn't engage in the production and exportation of iron ore, pellets, manganese and iron alloys, which are raw materials needed for steelmaking.",0
Raytheon Technologies doesn't engage in the provision of mail and logistics services.,1
American International Group doesn't have headquarters in Ireland.,1
LVMH Moet Hennessy Louis Vuitton doesn't have headquarters in Japan.,1
"AbbVie (ABBV) is a research-based biopharmaceutical company, which doesn't engage in the development and sale of pharmaceutical products.",0
Hitachi doesn't engage in the manufacture and sale of electrical equipment.,0
Shell doesn't engage in oil and natural gas production.,0
Apple doesn't operate in the industry of technology.,0
Exxon Mobil doesn't have headquarters in Switzerland.,1
Citigroup doesn't operate in the industry of Telecommunications Services.,1
"Electricite de France doesn't engage in the production and marketing of metal, mineral, and energy and agricultural commodities.",1
Raytheon Technologies doesn't operate in the industry of aerospace & defense.,0
Barclays doesn't operate in the industry of banking.,0
Truist Financial doesn't operate in the industry of Banking.,1
Fubon Financial doesn't have headquarters in Taiwan.,0
"Mizuho Financial is a banking services company, which doesn't engage in the provision of banking services to individuals, companies, and institutions.",1
Linde doesn't operate in the industry of chemicals.,0
Credit Agricole doesn't have headquarters in Australia.,1
E.ON doesn't engage in the provision of energy solutions.,0
Toronto-Dominion Bank provides financial products and services.,0
"Poly Developments & Holdings Group doesn't engage in property development, commodity residential building distribution, and property management.",0
Agricultural Bank of China doesn't have headquarters in Hong Kong.,1
China Life Insurance doesn't operate in the industry of insurance.,0
ConocoPhillips doesn't have headquarters in United Kingdom.,1
State Bank of India doesn't operate in the industry of Oil & Gas Operations.,1
"ANZ provides banking, financial products and services to retail, small business, corporate and institutional clients.",0
SAP doesn't operate in the industry of it software & services.,0
Sanofi doesn't engage in the manufacture and sale of semiconductor products.,1
Lockheed Martin doesn't operate in the industry of aerospace & defense.,0
United Parcel Service doesn't operate in the industry of Banking.,1
Hyundai Motor doesn't operate in the industry of Technology.,1
Linde doesn't have headquarters in United States.,1
The Home Depot doesn't have headquarters in United States.,0
"Lockheed Martin doesn't engage in the manufacture, distribution and sale of automobiles.",1
American International Group doesn't have headquarters in United States.,0
Honeywell doesn't have headquarters in United States.,0
CVS Health doesn't engage in the provision of financial products and services.,1
National Australia Bank doesn't have headquarters in Australia.,0
Goldman Sachs Group doesn't have headquarters in United States.,0
PetroChina doesn't operate in the industry of Insurance.,1
Glencore doesn't operate in the industry of Telecommunications Services.,1
Oracle doesn't have headquarters in United States.,0
HSBC Holdings doesn't have headquarters in United Kingdom.,0
Alphabet doesn't operate in the industry of it software & services.,0
"CNOOC is a diversified, community-based financial services company.",1
National Australia Bank doesn't operate in the industry of Media.,1
"Chubb doesn't engage in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products.",1
"China Mobile doesn't engage in the manufacture, marketing, distribution and sale of beverages, food, and snacks.",1
"Johnson & Johnson is a holding company that doesn't engage in the research and development, manufacture and sale of products in the healthcare field.",0
Dell Technologies doesn't operate in the industry of Media.,1
Sberbank provides commercial banking and financial services.,0
Pfizer doesn't have headquarters in China.,1
"Brookfield Asset Management doesn't engage in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0
Bank of Communications doesn't have headquarters in China.,0
Toronto-Dominion Bank doesn't operate in the industry of banking.,0
Toronto-Dominion Bank doesn't have headquarters in United States.,1
ANZ doesn't operate in the industry of Semiconductors.,1
Industrial and Commercial Bank of China doesn't have headquarters in Germany.,1
Bank of America doesn't have headquarters in United States.,0
SK Hynix doesn't have headquarters in China.,1
Alibaba Group doesn't have headquarters in China.,0
"Bank of America is a holding company that doesn't engage in the generation, distribution, trading and marketing of electricity.",1
"ENGIE doesn't engage in the provision of electricity, natural gas, and energy related services.",0
Poly Developments & Holdings Group doesn't operate as a holding company that doesn't engage in the provision of insurance and asset management services.,1
Deutsche Telekom doesn't have headquarters in Germany.,0
Mitsubishi UFJ Financial Group doesn't have headquarters in Japan.,0
National Australia Bank doesn't engage in the provision of banking and financial services.,0
Sony doesn't have headquarters in United States.,1
"American International Group doesn't engage in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.",0
Citigroup doesn't engage in the provision of banking and related financial services.,1
China Life Insurance doesn't have headquarters in Germany.,1
